English,Russian,Ru-Abbreviation,En-Abbreviation
%,%,,
1/min,в мин,,
2D mode,2D режим,,
5 Point Segment Finding Scale,5-балльная шкала для определения сегментов,,
Acceleration Slope,Скорость нарастания,AT,AT
Acceleration Time,Время ускорения,,
Akinesis,Акинез,,
Antegrade Flow,Антеградный кровоток,,
Aorta,Аорта,,
Aortic Root Diameter,Диаметр корня аорты,,
Aortic Valve,Аортальный клапан,,
Aortic Valve Cusp Separation,Сепарация створок аортального клапана,,
Aortic Valve Ejection Time,Время изгнания на аортмальном клапане,,
Apical four chamber,Апикальная четырехкамерная позиция,Ap4,Ap4
Apical two chamber,Апикальная двухкамерная позиция,Ap2,Ap2
Area,Площадь,,
Area by Pressure Half-Time,Площадь по времени полуспада градиента давления,,
Area-Length Biplane,Площадь—длина в двух плоскостях,,
Area-Length Single Plane,Площадь—длина в одной плоскости,,
Ascending Aortic Diameter,Диаметр восходящей аорты,,
Assessment Scale,Шкала оценки,,
Associated Morphology,Ассоциированные морфологические варианты,,
Atrial Septal Defect,Дефект межпредсердной перегородки,ДМПП,ASD
Average Annulus E Velocity,Средняя скорость подъема кольца митрального клапана,e'(avg),e'(ср.)
Cardiac Cycle Point,Момент сердечного цикла,,
Cardiac Output,Сердечный выброс,,
Cardiac Shunt Study,Исследование сброса,,
Cardiac Wall Motion,Локальная сократимость,,
Cardiovascular Orifice Area,Площадь отверстия,,
Cardiovascular Orifice Diameter,Диаметр отверстия,,
cm,см,,
cm2,см²,,
Continuity Equation by Peak Velocity,Уравнение непрерывности потока (по Vmax),,
Continuity Equation by Velocity Time Integral,Уравнение непрерывности потока (по VTI),,
Cube Method,Кубический метод,,
Deceleration Slope,Скорость замедления,,
Deceleration Time,Время замедления,,
Derivated_from,Исходные значения,,
Derivation,Способ вывода,,
Descending Aortic Diameter,Диаметр нисходящей аорты,,
Diameter,Диаметр,,
Diastole,Диастола,,
Direction of Flow,Направление кровотока,,
Distance,Расстояние,,
Doppler Pulsed,Импульсное допплеровское исследование,PW,PW
During Expiration,На выдохе,,
During Inspiration,На вдохе,,
Dyskinesis,Дискинез,,
E Velocity to Annulus E Velocity Ratio,E/e',,
E Velocity to Average Annulus E Velocity,E/e' (среднее),,
Early Diastole,Ранняя диастола,,
Echocardiography for Determining Ventricular Contraction,Определение сокращения желудочков,,
Ejection Time,Время изгнания,,
End Diastole,Конец диастолы,,
End Systole,Конце систолы,,
Endocardial Area,Эндокардиальная площадь,,
Epicardial Area,Эпикардиальная площадь,,
Finding Site,Локализация,,
Findings,Находки,,
g,г,,
Heart rate,Частота сердечных сокращений,HR,ЧСС
HR-Corrected Mean Velocity of Circumferential Fiber Shortening,Средняя скорость циркулярного укорочения с поправкой на ЧСС,,
Hypokinesis,Гипокинез,,
Image Mode,Режим,,
Image View,Позиция,,
Inferior Vena Cava % Collapse,"Спадение нижней полой вены, %",,
Inferior Vena Cava Diameter,Диаметр нижней полой вены,НПВ,IVC
Interventricular Septum % Thickening,"Утолщение межжелудочковой перегородки, %",,
Interventricular Septum Diastolic Thickness,Диастолическая толщина межжелудочковой перегородки,,
Interventricular Septum Systolic Thickness,Систолическая толщина межжелудочковой перегородки,,
l/min,л/мин,,
Lateral Mitral Annulus,Латеральная часть митрального кольца,,
Left Atrial End Diastolic Volume,Конечно-диастолический объем левого предсердия,КДО ЛП,LA-V(d)
Left Atrium,Левое предсердие,ЛП,LA
Left Atrium Antero-posterior Systolic Dimension,Передне-задний размер левого предсердия (систола),,
Left Atrium Area A4C view,Площадь левого предсердия (в 4-камерной позиции),Площадь ЛП (Ap4),LA-A (Ap4)
Left Atrium Area on Apical two chamber view,Площадь левого предсердия (2-х камерная позиция),Площадь ЛП (Ap2),LA-A (Ap2)
Left Atrium Length on Apical two chamber view,Длина левого предсердия (2-х камерная позиция),,
"Left Atrium Superior-Inferior Dimension, 4-chamber view",Верхне-нижняя ось левого предсердия (4-х камерная позиция),,
Left Atrium Systolic Volume,Систолический объем левого предсердия,КСО ЛП,LA-V(s)
Left Atrium to Aortic Root Ratio,Отношение размера левого предсердия к размеру корня аорты,ЛП/Ао,LA/Ao
Left to right cardiovascular shunt,Сброс слева направо,,
Left Ventricle,Левый желудочек,,
left ventricle apical anterior segment,передний апикальный сегмент левого желудочка,передний апикальный сегмент,
left ventricle apical inferior segment,апикальный нижний сегмент левого желудочка,апикальный нижний сегмент,
left ventricle apical lateral segment,апикальный боковой сегмент левого желудочка,апикальный боковой сегмент,
left ventricle apical septal segment,апикальный перегородочный сегмент левого желудочка,апикальный перегородочный сегмент,
left ventricle basal anterior segment,базальный передний сегмент левого желудочка,базальный передний сегмент,
left ventricle basal anterolateral segment,базальный переднебоковой сегмент левого желудочка,базальный переднебоковой сегмент,
